provider_id,hospital_name,city,state,number_of_deaths_among_cancer_patients_assigned_to_hospital_2012,percent_of_cancer_patients_dying_in_hospital_2012,percent_of_cancer_patients_dying_in_hospital_2012_2,percent_of_cancer_patients_dying_in_hospital_2012_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_3
Provider ID,Hospital Name,City,State,Number of deaths among cancer patients assigned to hospital (2012),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
10001,Southeast Alabama Medical Center                                             ,Dothan              ,AL,123,26.5821143048318,18.986755173406,37.2158799363919,56.7639701125589,44.9012048145146,71.7608428604548,4.42381742333693,3.42420736568148,5.42342748099238,21.1636995333196,14.509967905835,30.8685850198547,0.711237747107862,0.0760541046448314,1.34642138957089,,,,60.1949932525109,47.8460721285486,75.731132180186,10.2266224556835,8.31076438964692,12.14248052172,,,,51.5665396015886,40.4284962658552,65.7731118416101
10006,Eliza Coffee Memorial Hospital                                               ,Florence            ,AL,99,49.341441153961,37.2740771618801,65.3155758780158,66.1041333189463,51.7313201485877,84.4702286602736,5.86486084899296,4.75083555038835,6.97888614759757,23.058075438728,15.3188232564623,34.7072901121031,0.786032866015059,0.0781461840589813,1.49391954797114,,,,48.4074389257543,36.4736351086843,64.2458624255059,9.0914134820233,6.95626654371981,11.2265604203268,,,,61.523888700605,48.0502549416615,78.7756253414281
10023,Baptist Medical Center South                                                 ,Montgomery          ,AL,98,23.8198594544925,16.2120611949713,34.9977524515987,61.3869168997705,47.9453644856637,78.5968280121453,4.14947049586807,3.02967140220765,5.2692695895285,25.980449456057,17.9329423030453,37.6393200029484,0.636211398117246,,1.347766930888,16.0781942051348,10.247263218049,25.2270604743233,66.2365919981784,51.6299683217149,84.9755725627265,10.1307536247568,7.98454059948813,12.2769666500256,,,,64.9643016851643,50.8347089204093,83.0212385016064
10024,Jackson Hospital And Clinic                                                  ,Montgomery          ,AL,104,31.2366883440677,22.3109364220331,43.7332920612348,70.620411907708,56.3064518638508,88.5731992147812,5.92913615288886,4.84216600424085,7.01610630153687,25.7304078522728,17.7609314754508,37.2758539809353,0.960643971171838,0.269948981681445,1.65133896066223,14.5805312855887,9.05797943245922,23.4701231279252,57.3998266384214,44.3671437617632,74.2608114647294,7.85459652378361,5.77130363284111,9.93788941472611,,,,60.4421232444455,47.2055779773231,77.3902241818056
10029,East Alabama Medical Center                                                  ,Opelika             ,AL,111,18.5744752776793,12.226121960598,28.2191796346391,66.2536141022331,52.7432939011308,83.2246349618583,4.75640928317331,3.70411927384243,5.80869929250419,25.4796152380458,17.8094726917458,36.4531170526879,1.27285900132743,0.60420086215069,1.94151714050416,9.42310291815573,5.34805882247034,16.6031959545912,73.753644122915,59.1440594567867,91.9720437076865,9.98115182931097,7.96432708175414,11.9979765768678,14.0149777051554,8.44443069949653,23.2602536589841,40.4869186368815,30.4127812650549,53.89808207357
10033,University of Alabama Hospital                                               ,Birmingham          ,AL,254,33.9744683346579,27.6833943071579,41.6951940869557,58.8224195701162,50.1937093132919,68.9344758819511,5.62553376201926,4.92963487498287,6.32143264905566,23.8510484064389,18.6271390140604,30.5399830675494,1.16906002232735,0.726864001520502,1.6112560431342,13.7431112842618,10.0338177854644,18.8236533500954,56.4801405198837,47.8770640999757,66.6291121461523,10.199850032711,8.86608644593634,11.5336136194856,4.3515531562601,2.40917620701315,7.85995429335312,59.8924718493528,51.1286134031204,70.1585266148952
10039,Huntsville Hospital                                                          ,Huntsville          ,AL,318,35.9849210382182,30.1360848578325,42.9689041637485,69.7672206867201,61.2911080803922,79.4155177609959,6.50088239395667,5.87840351391358,7.12336127399976,59.7802433184866,52.0462593429925,68.6634839146921,5.05732988373474,4.66178724252778,5.4528725249417,12.2287067151768,9.02878156903125,16.5627296199897,52.1045846311725,44.6561378917001,60.7953994179067,8.15585398953007,6.96280758695074,9.3489003921094,7.01099286981428,4.65632385026856,10.5564008435005,65.2132714905324,56.8298158620328,74.83344286778
10055,Flowers Hospital                                                             ,Dothan              ,AL,100,17.0882967689869,10.763183178237,27.130439167421,51.7782803952706,39.4489215213413,67.9610548856421,4.02226449280781,2.91377592991133,5.13075305570429,16.2265348566561,10.0851458505733,26.1077467153641,0.185045947552142,,0.889414413652437,,,,77.7742796074054,62.101334857766,97.4027141655626,13.4349369962457,11.310401795674,15.5594721968173,,,,50.7395423691215,38.6552799215821,66.6015396874792
10056,St. Vincent's Birmingham                                                     ,Birmingham          ,AL,96,25.5267095990551,17.10546988677,38.0938323979322,56.522563645121,43.3898905013667,73.6300590783035,5.04064304772091,3.90952040974001,6.1717656857018,23.1599351985451,15.2467479708773,35.1801314893738,0.737820858248837,0.0190699895848676,1.45657172691281,,,,68.4913701217589,53.8006071759361,87.1935843737837,11.2431397726216,9.07522398080268,13.4110555644404,12.5070063001247,7.10017463794338,22.0311773396984,60.9734771534457,46.9152309334658,79.2443060006296
