provider_id,hospital_name,city,state,number_of_deaths_among_cancer_patients_assigned_to_hospital_2010,percent_of_cancer_patients_dying_in_hospital_2010,percent_of_cancer_patients_dying_in_hospital_2010_2,percent_of_cancer_patients_dying_in_hospital_2010_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths_3
Provider ID,Hospital Name,City,State,Number of deaths among cancer patients assigned to hospital (2010),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
10001,Southeast Alabama Medical Center,Dothan,AL,148,23.0429552308802,16.5406345027719,32.1014158001839,64.5918822209341,52.8739496479286,78.9067447509373,4.86856427714175,3.94170157504532,5.79542697923817,15.6987929020199,10.5205184032361,23.4258511923424,0.494220538184608,-0.0814801711932174,1.06992124756243,9.40598602174544,5.66786091199876,15.6095173143674,7.36179538869837,4.07456636289376,13.3010550125316,62.9548475188912,51.3125295329315,77.2386951530668,10.6646623643871,8.92066769291377,12.4086570358604,8.91628594742784,5.17575045791955,15.3601213471669,46.0825144871609,36.4528855305633,58.2559682327178
10006,Eliza Coffee Memorial Hospital,Florence,AL,119,42.0439070189257,32.0297596846248,55.1889909515809,73.5885763650869,59.8461096546635,90.4867267511388,5.99898864623453,4.96557137041561,7.03240592205346,16.8580802853013,10.9900128658986,25.8593756325351,0.721968287390068,0.0800835104683185,1.36385306431182,,,,8.38308636375062,4.64006387077984,15.1455106953712,44.335668968365,33.7809584692948,58.1881519039527,7.55801926941459,5.61353038410268,9.5025081547265,,,,53.76109969178,42.073966335597,68.6946368929373
10024,Jackson Hospital and Clinic,Montgomery,AL,93,29.4679486451275,20.3397307066363,42.6927971602175,71.1821964850432,55.8104804430303,90.7876989449578,5.25315375073851,4.08394641783724,6.42236108363978,20.0203610714309,12.767066909403,31.3944354074987,0.682442990886314,-0.043784841389744,1.40867082316237,,,,,,,60.834388701191,46.8088159167239,79.0625179502857,9.00290608304241,6.80291318893284,11.202898977152,,,,54.3854831191382,41.5410616464357,71.2013765867692
10029,East Alabama Medical Center,Opelika,AL,86,24.7058814696782,16.4132788021638,37.1882173300635,61.1644637573007,46.838232763106,79.8726041957964,5.33545810827054,4.11972503277876,6.55119118376232,17.2451600261339,10.5628073085824,28.1549720295786,1.30865419726225,0.553527906829333,2.06378048769517,,,,,,,74.6362443997678,58.1801901201457,95.7468335287029,12.7696528441941,10.4821166203329,15.0571890680554,15.5145275052727,9.00499183852173,26.7296814953444,39.5364224085032,28.3828630419465,55.0729746521158
10033,University of Alabama Hospital,Birmingham,AL,211,34.2533271325807,27.2663531556657,43.0307057549349,62.2115776641831,52.4478449167289,73.7929347070696,5.30480314510149,4.52846410194812,6.08114218825486,21.0694899139593,15.7282622605689,28.2245678435411,1.01913364549884,0.536927449424506,1.50133984157318,16.3065990099177,11.8076167447224,22.5198003135644,4.75829924931916,2.63371877868567,8.59674614059221,56.0912476045367,46.8251029465136,67.1910547944178,9.31535371392233,7.8545859524688,10.7761214753759,,,,54.0173849974786,45.0575854944508,64.7588602439691
10039,Huntsville Hospital,Huntsville,AL,331,36.1002873154504,30.2401144603523,43.0960916489496,67.4485279143438,59.193074731324,76.8553405691662,6.10729937598898,5.48707533127332,6.72752342070464,57.7548922092788,50.2054462673024,66.4395563052256,4.5083424846404,4.12310374139572,4.89358122788507,7.75087509579622,5.31246169792353,11.3085172499438,8.23196498645757,5.71517404197074,11.8570750497908,54.410690158927,46.9683746149858,63.0322685815525,8.77794672321054,7.61092659535648,9.9449668510646,6.63437590599235,4.36688608610602,10.0792516209783,59.7427914715157,51.9809944007388,68.6635793323392
10055,Flowers Hospital,Dothan,AL,81,29.254981456616,19.603569309062,43.6580668823059,55.8273868027218,41.6775974575671,74.7811128123182,4.78830261927112,3.53567429676071,6.04093094178153,18.0975101674865,10.908380277887,30.0246109797081,0.53735225580834,-0.240690718868373,1.31539523048505,,,,,,,65.9194616731156,50.3531656463602,86.297959055678,11.7228008070588,9.3658420958565,14.0797595182612,,,,58.9338973813885,44.4051656919586,78.2162211634083
10056,St. Vincent's Birmingham,Birmingham,AL,102,29.5560697153053,20.5346229470945,42.5408958940533,55.8640942254081,43.086569515382,72.4308539465215,5.18996803050576,4.07374194063881,6.3061941203727,22.9921519390683,15.2762755663812,34.6052313924336,1.39186939904113,0.698549719320556,2.0851890787617,,,,,,,68.2345485232235,53.9772510914905,86.2577014949572,11.940513923798,9.84021109740928,14.0408167501868,,,,47.3988365245039,35.7150118239921,62.904912784249
10078,Northeast Alabama Reg Med Ctr,Anniston,AL,88,40.2504288717816,28.8869345820442,56.0840756488361,73.7408723349993,57.4795671220733,94.6025957568228,7.05710787349548,5.85498494567765,8.25923080131331,27.5834501799302,18.6323214120992,40.8347788233529,1.13604840676852,0.389375765029109,1.88272104850794,19.2904495144005,12.1431585929347,30.6445345022627,13.4612079067764,7.44710583213597,24.332152972437,43.8335581015093,31.8892514464915,60.2516750530305,6.49762868927742,4.23570146334826,8.75955591520659,,,,51.6741862436596,39.1555295889894,68.1952600813574
