hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2011,percent_of_cancer_patients_dying_in_hospital_2011,percent_of_cancer_patients_dying_in_hospital_2011_2,percent_of_cancer_patients_dying_in_hospital_2011_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2011_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2011_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2011_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2011_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2011_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2011_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2011_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2011_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2011_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2011_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2011_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2011_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2011_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2011_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2011_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2011_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2011_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2011_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2011_deaths_3
HRR ID,HRR Name,State,Number of deaths among cancer patients (2011),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,1941,27.792199983812,25.5517738042397,30.2290708213783,62.1310432724722,58.6964017133715,65.7666641470871,5.00227528868977,4.74423986076463,5.26031071661492,26.8993055774264,24.6954705715108,29.299811819844,1.20220701516125,1.03879541474676,1.36561861557573,9.69493684288842,8.42753697969126,11.152938351276,63.3277461698632,59.815411103514,67.0463240320189,10.8068820333026,10.3114350569212,11.3023290096839,7.85625485202761,6.68930493173983,9.22677930365395,47.7782829516571,44.8023203245853,50.9519218038343
2,Dothan,AL,369,24.1503055694029,19.6982703645812,29.6085518322578,57.3881646215651,50.1782368229956,65.6340606436485,4.4742468310893,3.88785974160797,5.06063392057064,18.8871721347557,14.9860390593975,23.8038396826542,0.682811285580006,0.311457423340863,1.05416514781915,7.73715742242684,5.43710752870533,11.0101933175615,67.2173352943753,59.273287781165,76.2260764200799,12.5555181428988,11.4296118562751,13.6814244295225,6.8798578653895,4.6461432852318,10.1874697662494,46.5926505675308,40.1283737782766,54.0982572307285
5,Huntsville,AL,545,30.0654973166457,25.8525711813179,34.9649604504502,63.0475649926415,56.7414469560496,70.0545309424393,5.24579633971668,4.76289469991544,5.72869797951792,39.7451441782301,34.8353409459228,45.346950621225,2.66893832248657,2.36312089874278,2.97475574623037,8.42376142392166,6.36097126454968,11.1554908167274,58.1426251684086,52.0199764649415,64.9858975571119,9.54867359845262,8.62146697704828,10.475880219857,6.2535633630418,4.46567658893413,8.75725188709037,48.1275563053489,42.6318287538408,54.3317456377202
6,Mobile,AL,554,25.038541576012,21.2531117302753,29.4982011203854,64.00144114142,57.7018191857051,70.9888271459114,5.05582612414375,4.57687476052477,5.53477748776273,27.9575517633638,23.9208845003504,32.6754096651283,1.3471223679067,1.04380661983672,1.65043811597668,7.76793862156356,5.81350915684318,10.3794229613194,69.1474846974847,62.4791670615619,76.5275029239378,10.9689583125452,10.0493365115902,11.8885801135002,12.0640631076271,9.47047527149381,15.3679318611273,59.9853611486292,53.8443484423275,66.8267637407765
7,Montgomery,AL,311,30.6109220559953,25.099514194012,37.332537270453,63.8211608882184,55.5852768221695,73.2773282779683,4.70260163125508,4.06413890234451,5.34106436016565,27.0525501376884,21.8901029834113,33.4324817707229,0.947235746542046,0.542902833130882,1.35156865995321,10.9404151039386,7.92028720455294,15.112164439906,58.5730319098596,50.5787563108725,67.8308506841623,8.62489508188516,7.3989997421853,9.85079042158503,10.7015285149567,7.56337319156585,15.1417508637731,51.4356456720795,43.9739508926643,60.1634738748264
9,Tuscaloosa,AL,239,28.4735053003074,22.5889194711621,35.8910706252086,59.344026308352,50.4168814435931,69.8518701999945,4.60416456360094,3.87602619638603,5.33230293081585,24.1480045894855,18.7422904863703,31.1128528328954,1.22318322217739,0.762059504141703,1.68430694021308,9.0945092522455,6.09109923495042,13.5788460093693,62.520549552473,53.1160500252164,73.5901693459426,10.4344026661766,9.03632351353991,11.8324818188134,8.68388020516249,5.59942808588248,13.4674067174359,48.707740683945,40.6229895773279,58.4015117355745
10,Anchorage,AK,346,31.1108554971107,25.7976699619073,37.518323600204,58.6314561975612,51.1715191079193,67.1789252258983,4.16698330358892,3.56190628053929,4.77206032663855,16.5313809524867,12.7772278255095,21.388564086697,0.472963615080269,0.0897735798760677,0.856153650284471,7.18747603096393,4.85434343534455,10.6419771043691,29.4187456101086,24.2260617056709,35.724444351997,4.61401505864134,3.45222272664148,5.77580739064121,5.02760983059162,3.16651371968379,7.98255205765716,40.4714798421113,34.1386433193467,47.9790794639512
11,Mesa,AZ,498,15.6690179823246,12.5270279574288,19.5990721314559,63.1222434065854,56.4557231817796,70.5759733136523,4.58873296900611,4.08369093017319,5.09377500783902,46.2010476955927,40.5406710218708,52.6517384731716,2.36551356231418,2.04567481572851,2.68535230889986,13.415450977505,10.5095033895032,17.1249124016266,79.1258092580137,71.6877666086227,87.3355941595551,11.9679837531586,10.9982659392242,12.9377015670931,17.3686515293223,14.0634885667083,21.4505849324723,74.2694339847464,67.1142268977012,82.1874746888209
12,Phoenix,AZ,1703,17.6974169316809,15.8040108037679,19.8176633730897,61.47765201983,57.8488996393387,65.3340291938959,4.55326099165153,4.27865594102681,4.82786604227624,35.6831666335188,32.9326588297629,38.6633945220582,1.74643419986847,1.57252920098785,1.9203391987491,11.4349225829605,9.91551146589702,13.1871618451576,72.6465634403515,68.6776272056812,76.8448677454664,10.7241062758053,10.1968444066695,11.251368144941,13.0799780536637,11.4692694264692,14.9168896049723,65.3368357445128,61.5565253762743,69.3493025964523
